bin_id,x_left,x_right,x_center,n,q95_rel_gap_dom,ci_low,ci_high,median_rel_gap_dom
0,0.203,0.329,0.266,35040,0.0010528129727233727,0.0010364322823706923,0.00108683203603197,0.00026226337815333747
1,0.329,0.353,0.34099999999999997,35040,0.0009549703675973107,0.0009286965895915685,0.0009630565359761352,0.0002457131331087084
2,0.353,0.372,0.3625,35040,0.0009414618748877183,0.000927760803493558,0.0009668589616437116,0.00023367359827544286
3,0.372,0.387,0.3795,35040,0.0009116893496136858,0.0008874112790164094,0.0009297086238923538,0.00023051450523078936
4,0.387,0.401,0.394,35040,0.0008943458460022467,0.000880384310230961,0.0009190601250283166,0.00022139603847010574
5,0.401,0.415,0.40800000000000003,35040,0.0008715916073000874,0.0008510187956758913,0.0008914785644927687,0.00021558818447946687
6,0.415,0.427,0.421,35040,0.0008439544969587061,0.0008294400764198999,0.00086082156125582,0.0002084921257279229
7,0.427,0.44,0.4335,35040,0.0008317595177442618,0.0008125744330824447,0.0008487033696660854,0.00020481108890500754
8,0.44,0.452,0.446,35040,0.0008159704119024986,0.0008018731286271557,0.0008382782940035747,0.00019769860140367773
9,0.452,0.464,0.458,35039,0.0007975844776183142,0.0007727129503761513,0.0008082653513602496,0.00019079187704597585
10,0.464,0.476,0.47,35040,0.0007729471355357423,0.0007601689926970126,0.0007892575194583909,0.00018847751408996487
11,0.476,0.488,0.482,35040,0.0007603496496947682,0.0007334557763917489,0.0007721932514610656,0.00017897416785457454
12,0.488,0.501,0.4945,35040,0.000728891707485269,0.0007120257831860484,0.0007447133167631525,0.00017394279977124116
13,0.501,0.514,0.5075000000000001,35040,0.0007183040554882245,0.000699919396888793,0.0007334001259995601,0.0001657477550509276
14,0.514,0.527,0.5205,35040,0.0006999708549767258,0.0006853505331350364,0.0007165756908325724,0.00016321665182576577
15,0.527,0.541,0.534,35040,0.0006719509443629628,0.0006619623063905802,0.0006902240373443659,0.00015664416423456583
16,0.541,0.556,0.5485,35040,0.0006682917830030073,0.0006546247992716518,0.0006860783539617976,0.00015131420327382182
17,0.556,0.571,0.5635,35040,0.0006250504459480455,0.0006089042488333078,0.0006380540444274494,0.00014452207636354256
18,0.571,0.587,0.579,35040,0.0006081630871646601,0.0005950854278144243,0.0006277113191416461,0.00013795107397284007
19,0.587,0.604,0.5954999999999999,35039,0.0005970454981495107,0.0005781898219474472,0.0006036041567235597,0.00013164079913844512
20,0.604,0.622,0.613,35040,0.0005578151331857869,0.0005390488163126028,0.0005635688779206821,0.0001228621187092673
21,0.622,0.641,0.6315,35040,0.0005346258209928611,0.0005190674396939201,0.000545131139944021,0.00011745559025438728
22,0.641,0.661,0.651,35040,0.0005042168831279475,0.00048603460887180263,0.0005113478321982823,0.00010761842551855424
23,0.661,0.683,0.672,35040,0.0004705795909775208,0.00045761649662500896,0.00047575278897729297,0.00010047896989858217
24,0.683,0.707,0.6950000000000001,35040,0.00044333154830714317,0.00043464212167952036,0.0004582901304148739,9.200372049255777e-05
25,0.707,0.735,0.721,35040,0.00040977977769907916,0.0004024095931717095,0.000425198787052739,8.247799371807123e-05
26,0.735,0.767,0.751,35040,0.00036441834755772867,0.0003570183975734517,0.0003731030984197563,7.164392457161947e-05
27,0.767,0.806,0.7865,35040,0.0003257514505352187,0.0003134092585473007,0.0003291473175231111,6.104231592099993e-05
28,0.806,0.859,0.8325,35040,0.00025813154436653735,0.0002498855003814846,0.00026400672899811015,4.6429705159728866e-05
29,0.859,1.0,0.9295,35039,0.00014511171008859235,0.00013991806848202905,0.00014822489568331747,2.1972062454728064e-05
